CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
0,2,8,0,0,3,6,0,1,0,3,13,3,1,0,0,0,5,5,6,0,0,0,0,1,0,4,0,0,0,2,7,0,0,0,1,1
1,1,7,0,0,5,5,0,0,0,2,6,7,3,0,0,0,11,1,4,0,0,0,0,8,0,10,0,0,1,0,13,0,0,0,0,1
0,0,5,0,0,6,1,1,0,0,0,7,4,9,0,0,0,4,0,5,0,0,0,0,1,0,1,1,0,0,4,3,0,0,0,0,1
1,1,13,1,0,9,4,0,0,0,0,19,3,6,0,0,0,1,2,1,0,0,0,0,1,0,2,2,0,2,3,5,1,0,0,0,1
1,2,7,0,0,6,6,0,0,0,2,11,8,2,0,0,1,8,1,3,1,0,0,0,2,0,3,0,0,0,3,5,0,0,0,0,1
0,2,9,0,0,5,4,0,0,0,0,8,6,3,0,0,0,4,0,5,0,0,0,0,1,0,1,2,0,0,0,8,0,0,0,0,1
3,0,11,1,0,8,4,0,0,0,1,10,10,3,0,0,0,6,3,3,0,0,0,0,4,0,2,0,1,0,6,3,0,0,0,0,1
1,0,6,0,0,4,3,0,0,0,0,8,1,3,0,0,1,2,1,2,0,0,0,0,3,0,2,6,1,1,1,0,0,0,0,1,2
6,3,22,0,0,16,13,0,0,0,5,27,12,7,0,0,0,6,4,5,0,0,0,0,8,0,10,7,2,0,1,3,0,0,0,1,2
0,1,5,2,0,5,2,0,0,0,0,5,5,1,0,0,0,5,0,1,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,2
2,2,10,0,0,7,2,0,0,0,0,11,5,5,0,0,2,7,1,7,0,0,1,0,3,0,2,8,0,1,1,0,0,0,0,0,2
2,3,19,0,0,23,10,0,1,0,4,21,9,4,0,0,2,12,2,10,2,0,0,0,2,0,7,2,0,0,2,11,0,0,0,1,2
5,1,11,0,0,7,3,0,0,0,0,12,4,7,0,0,0,2,0,2,0,0,1,0,0,0,2,9,1,0,1,1,0,0,0,0,2
1,4,7,0,0,7,4,0,0,0,1,13,6,10,0,0,2,4,4,1,0,0,0,0,1,0,1,7,2,1,0,4,2,0,0,0,2
1,2,7,0,0,6,3,0,0,0,0,9,6,4,0,0,0,4,0,1,0,0,1,0,2,0,2,6,0,0,0,0,0,0,0,0,2
2,3,13,0,0,12,1,0,0,0,1,17,7,1,0,0,0,4,3,3,0,0,0,0,2,0,3,4,1,0,3,3,0,0,0,0,2
